English Term,Korean Hangul,Romanized,Phonetic,Definition,Category,Difficulty,Belt Level
Attention,blank,Charyot,blank field,blank field,basics,1,10th_keup
Bow,blank,Kyong-Ye,blank field,blank field,basics,1,10th_keup
Ready,blank,Junbi,blank field,blank field,basics,1,10th_keup
Shout,blank,Kihap,blank field,blank field,basics,1,10th_keup
Start/Begin,blank,Si-Jak,blank field,blank field,basics,1,10th_keup
Stop,blank,Goman,blank field,blank field,basics,1,10th_keup
Return to Ready,blank,Barrol,blank field,blank field,basics,1,10th_keup
Dismiss,blank,Haessan,blank field,blank field,basics,1,10th_keup
Forward,blank,Apro Kaggi,blank field,blank field,basics,1,10th_keup
Backward,blank,Dwiyro Kaggi,blank field,blank field,basics,1,10th_keup
About Turn,blank,Dwiyro Torro,blank field,blank field,basics,1,10th_keup
Left,blank,Wen,blank field,blank field,basics,1,10th_keup
Right,blank,Orun,blank field,blank field,basics,1,10th_keup
Inward,blank,Anaero,blank field,blank field,basics,1,10th_keup
Outward,blank,Bakaero,blank field,blank field,basics,1,10th_keup
Break,blank,Hechyo,blank field,blank field,basics,1,10th_keup
Press Ups,blank,Momtong Bachia,blank field,blank field,basics,1,10th_keup
Training Hall,blank,Dojang,blank field,blank field,basics,1,10th_keup
Training Suit,blank,Dobok,blank field,blank field,basics,1,10th_keup
Belt,blank,Ti,blank field,blank field,basics,1,10th_keup
Pattern,blank,Tul,blank field,blank field,basics,1,10th_keup
Instructor,blank,Sabum,blank field,blank field,basics,1,10th_keup
Student,blank,Jeja,blank field,blank field,basics,1,10th_keup
One,blank,Hana,blank field,blank field,numbers,1,10th_keup
Two,blank,Dool,blank field,blank field,numbers,1,10th_keup
Three,blank,Set,blank field,blank field,numbers,1,10th_keup
Four,blank,Net,blank field,blank field,numbers,1,10th_keup
Five,blank,Dasaul,blank field,blank field,numbers,1,10th_keup
Six,blank,Yosaul,blank field,blank field,numbers,1,10th_keup
Seven,blank,Ilgop,blank field,blank field,numbers,1,10th_keup
Eight,blank,Yodoll,blank field,blank field,numbers,1,10th_keup
Nine,blank,Ahop,blank field,blank field,numbers,1,10th_keup
Tn,blank,Yoll,blank field,blank field,numbers,1,10th_keup
Attention Stance,blank,Charyot Sogi,blank field,blank field,techniques,1,10th_keup
Parallel Stance,blank,Narani Sogi,blank field,blank field,techniques,1,10th_keup
Parallel Ready Stance,blank,Narani Junbi Sogi,blank field,blank field,techniques,1,10th_keup
High Section,blank,Nopunde,blank field,blank field,basics,1,10th_keup
Middle Section,blank,Kaunde,blank field,blank field,basics,1,10th_keup
Low Section,blank,Nojunde,blank field,blank field,basics,1,10th_keup
Stance,blank,Sogi,blank field,blank field,basics,1,10th_keup
Walking Stance,blank,Gunnun Sogi,blank field,blank field,techniques,1,10th_keup
Wlking Ready Stance,blank,Gunnun Junbi Sogi,blank field,blank field,techniques,1,10th_keup
Sitting Stance,blank,Annun Sogi,blank field,blank field,techniques,1,10th_keup
Block,blank,Makgi,blank field,blank field,basics,1,10th_keup
Outer Forearm Low Block,blank,Bakat Palmok Najunde Makgi,blank field,blank field,techniques,1,10th_keup
Inner Forearm Middle Block,blank,An Palmok Kaunde Makgi,blank field,blank field,techniques,1,10th_keup
Inner Forearm,blank,An Palmok,blank field,blank field,basics,1,10th_keup
Outer Forearm,blank,Bakat Palmok,blank field,blank field,basics,1,10th_keup
Obverse Punch,blank,Baro Jirugi,blank field,blank field,techniques,1,10th_keup
Reverse Punch,blank,Bandae Jirugi,blank field,blank field,techniques,1,10th_keup
Four Directional Punch,blank,Sajo Jirugi,blank field,blank field,techniques,1,10th_keup
Rising Kick,blank,Ap Cha Olligi,blank field,blank field,techniques,1,10th_keup
L Stance,blank,Niunja Sogi,blank field,blank field,basics,1,9th_keup
Forearm Guarding Block,blank,Palmok Daebi Makgi,blank field,blank field,techniques,1,9th_keup
Forearm Rising Block,blank,Palmok Chookyo Makgi,blank field,blank field,techniques,1,9th_keup
Double Punch,blank,Doo Jirugi,blank field,blank field,techniques,1,9th_keup
Front Kick,blank,Ap Chagi,blank field,blank field,techniques,1,9th_keup
Knife Hand Strike,blank,Sonkal Taerigi,blank field,blank field,techniques,1,9th_keup
Step Turn,blank,Omgyo Didimyo Dolgi,blank field,blank field,basics,1,9th_keup
Ball of Foot,blank,Ap Kumchi,blank field,blank field,basics,1,9th_keup
Knife Hand,blank,Sonkal,blank field,blank field,basics,1,9th_keup
Fore Fist,blank,Ap Joomuk,blank field,blank field,basics,1,9th_keup
3-step Sparring,blank,Sambo Matsoki,blank field,blank field,techniques,1,8th_keup
Knife Hand Guarding Block,blank,Sonkal Daebi Makgi,blank field,blank field,techniques,1,8th_keup
Twin Outer Forearm Block,blank,Sang Bakat Palmok Makgi,blank field,blank field,techniques,1,8th_keup
Outer Forearm Inward Block,blank,Bakat Palmok Anaero Makgi,blank field,blank field,techniques,1,8th_keup
Back Fist  Front Dowward Strike,blank,Dung Joomuk Ap Naeryo Taerigi,blank field,blank field,techniques,1,8th_keup
Front Snap Kick,blank,Ap Cha Busigi,blank field,blank field,techniques,1,8th_keup
Turning Kick,blank,Dollyo Chagi,blank field,blank field,techniques,1,8th_keup
Release Move,blank,Jap Tasol Tae,blank field,blank field,techniques,1,7th_keup
Outer Forearm Wedging Block,blank,Bakat Palmot Hechyo Makgi,blank field,blank field,techniques,1,7th_keup
Knife Hand Outward Block,blank,Sonkal Bakaero Makgi,blank field,blank field,techniques,1,7th_keup
Outer Forearm High Block,blank,Bakat Palmok Nopunde Makgi,blank field,blank field,techniques,1,7th_keup
Back Fist High Side Strike,blank,Dung Joomuk Nopunde Yop Taerigi,blank field,blank field,techniques,1,7th_keup
Straight Fingertip Thrust,blank,Son Sonku Tulgi,blank field,blank field,techniques,1,7th_keup
Sliding,blank,Mikulgi,blank field,blank field,basics,1,7th_keup
Spot Turn,blank,Gujari Dolgi,blank field,blank field,basics,1,7th_keup
Fingertip,blank,Sonkut,blank field,blank field,basics,1,7th_keup
Back Fist,blank,Dung Joomuk,blank field,blank field,basics,1,7th_keup
Foot Sword,blank,Balkal,blank field,blank field,basics,1,7th_keup
Closed Ready Stance,blank,Moa Junbi Sogi,blank field,blank field,techniques,1,6th_keup
Fixed Stance,blank,Gojung Sogi,blank field,blank field,techniques,1,6th_keup
3-step Semi-Free Sparring,blank,Ban Jayoo Matsoki,blank field,blank field,techniques,1,6th_keup
Bending Ready Stance,blank,Guburyo Sogi,blank field,blank field,techniques,1,6th_keup
Vertical Stance,blank,Soo Jik Sogi,blank field,blank field,techniques,1,6th_keup
Inner Forearm Circular Block,blank,An Palmok Dollimyo Makgi,blank field,blank field,techniques,1,6th_keup
Outer Forearm Waist Block,blank,Bakat Palmok Hori Makgi,blank field,blank field,techniques,1,6th_keup
Palm Inward Pushing Block,blank,Sonbadak Aaero Miro Makgi,blank field,blank field,techniques,1,6th_keup
Knife Hand Inward Strike,blank,Sonkal Anaero Taerigi,blank field,blank field,techniques,1,6th_keup
Side Punch,blank,Yop Jirugi,blank field,blank field,techniques,1,6th_keup
Reverse Knife Hand Strike,blank,Sonkal Dung Taerigi,blank field,blank field,techniques,1,6th_keup
Back Kick,blank,Dwit Chagi,blank field,blank field,techniques,1,6th_keup
Foot Shifting,blank,Jajun Bal,blank field,blank field,basics,1,6th_keup
Back Sole,blank,Dwi Kumchi,blank field,blank field,basics,1,6th_keup
Palm,blank,Sonbadak,blank field,blank field,basics,1,6th_keup
Reverse Knife Hand,blank,Sonkal Dung,blank field,blank field,basics,1,6th_keup
