English Term,Korean Hangul,Romanized,Phonetic,Definition,Category,Difficulty,Belt Level
2-step Sparring,blank,Ibo Matsoki,blank,blank,techniques,1,5th_keup
Free Sparring,blank,Jayoo Matsoki,blank,blank,techniques,1,5th_keup
X Stance,blank,Kyocha Sogi,blank,blank,techniques,1,5th_keup
Back Fist High Side Strike,blank,Dung Joomuk Nopunda Yop Taerigi,blank,blank,techniques,1,5th_keup
X Fist Pressing Block,blank,Kyocha Joomuk Noollo Makgi,blank,blank,techniques,1,5th_keup
Palm Upward Block,blank,Sonbadak Ollyo Makgi,blank,blank,techniques,1,5th_keup
Double Forearm Block,blank,Doo Palmok Makgi,blank,blank,techniques,1,5th_keup
Grasping Block,blank,Butjuba Makgi,blank,blank,techniques,1,5th_keup
Palm Hooking Block,blank,Sonbadak Golcho Makgi,blank,blank,techniques,1,5th_keup
Twin Knife Hand Block,blank,Sang Sonkal Makgi,blank,blank,techniques,1,5th_keup
Elbow Front Strike,blank,Palkup Ap Taerigi,blank,blank,techniques,1,5th_keup
Sang Dwijibo Jirugi,blank,Sang Dwijibo Jirugi,blank,blank,techniques,1,5th_keup
Flat Fingertip Thrust,blank,Opun Sonkut Tulgi,blank,blank,techniques,1,5th_keup
Twin Vertical Punch,blank,Sang Sewo Jirugi,blank,blank,techniques,1,5th_keup
Knee Kick,blank,Moorup Chagi,blank,blank,techniques,1,5th_keup
Side Elbow Thrust,blank,Yop Palkup Tulgi,blank,blank,techniques,1,5th_keup
Back Fist Side Strike,blank,Dung Joomuk Yop Taerigi,blank,blank,techniques,1,5th_keup
Reverse Turning Kick,blank,Bandae Dollyo Chagi,blank,blank,techniques,1,5th_keup
Elbow,blank,Palkup,blank,blank,basics,1,5th_keup
Knee,blank,Moorup,blank,blank,basics,1,5th_keup
Back Heel,blank,Dwit Chook,blank,blank,basics,1,5th_keup
Head,blank,Mori,blank,blank,basics,1,5th_keup
Rear Foot Stance,blank,Dwit Bal Sogi,blank,blank,techniques,1,4th_keup
Low Stance,blank,Nachua Sogi,blank,blank,techniques,1,4th_keup
Palm Pressing Block,blank,Sonbadak Noollo Makgi,blank,blank,techniques,1,4th_keup
Twin Straight Forearm Checking Block,blank,Sang Sun Palmok Momchau Makgi,blank,blank,techniques,1,4th_keup
U Shape Block,blank,Digutja Makgi,blank,blank,techniques,1,4th_keup
Palm Waist Block,blank,Sonbadak Hori Makgi,blank,blank,techniques,1,4th_keup
X Fist Rising Block,blank,Kyocha Joomuk Chookyo Makgi,blank,blank,techniques,1,4th_keup
Reverse Kife Hand Outward Block,blank,Sonkal Dung Bandae Makgi,blank,blank,techniques,1,4th_keup
Palm Upward Block,blank,Sonbadak Ollyo Makgi,blank,blank,techniques,1,4th_keup
Twin Upset Punch,blank,Sang Dwijibo Jirugi,blank,blank,techniques,1,4th_keup
Turning Punch,blank,Dollyo Jirugi,blank,blank,techniques,1,4th_keup
Side Fist Strike,blank,Yop Joomuk Taerigi,blank,blank,techniques,1,4th_keup
Arc Hand Strike,blank,Bandal Son Taerigi,blank,blank,techniques,1,4th_keup
Palm Strike,blank,Sonbadak Taerigi,blank,blank,techniques,1,4th_keup
Upper Elbow Strike,blank,Wi Palkup Taerigi,blank,blank,techniques,1,4th_keup
Reverse High Punch,blank,Bandae Nopunde Jirugi,blank,blank,techniques,1,4th_keup
Flying,blank,Twimyo,blank,blank,basics,1,3rd_keup
Jumping,blank,Twigi,blank,blank,basics,1,3rd_keup
Knife Hand Low Guarding Block,blank,Sonkal Najunde Daebi Makgi,blank,blank,techniques,1,3rd_keup
Outer Forearm W Shaped Block,blank,Bakat Palmok San Makgi,blank,blank,techniques,1,3rd_keup
