Belt Level,Belt ID,Set ID,Set Title,Category,Technique Count,Technique Names,Direction Patterns,Key Points Summary,Common Issues
10th Keup,10th_keup,basic_stances,Basic Stances,Stances,1,"Walking Stance (Gunnun Sogi)","Forward 4 counts, Backward 4 counts","Shoulder width apart, front foot forward, weight evenly distributed, upright posture","Stance too wide/narrow, leaning, uneven weight distribution"
10th Keup,10th_keup,basic_blocks,Basic Blocks,Blocking,2,"Low Block (Najunde Bakat Palmok Makgi), Middle Block (Kaunde Bakat Palmok Makgi)","Forward 4 counts, Backward 4 counts each","Low block at belt level, middle block at solar plexus, opposite hand to hip, strong chambering","Block height errors, bent arms, poor coordination with stepping"
10th Keup,10th_keup,basic_punches,Basic Punches,Striking,1,"Straight Punch (Baro Jirugi)","Forward 4 counts, Backward 4 counts","Punch at solar plexus level, rotate fist on impact, full extension, opposite hand to hip","Punch height errors, incomplete rotation, overextension"
9th Keup,9th_keup,basic_stances_extended,Extended Basic Stances,Stances,2,"Attention Stance Extended (Charyeot Sogi), Ready Stance Extended (Junbi Sogi)","Forward 8/6 counts, Backward 8/6 counts","Perfect posture alignment, consistent foot positioning, even weight distribution, alert readiness","Improper foot spacing, slouching, looking down, tense shoulders"
9th Keup,9th_keup,basic_blocks_extended,Extended Basic Blocks,Blocking,2,"Low Block Extended, Middle Block Extended","Forward 8/6 counts, Backward 8/6 counts","Enhanced form and power, hip rotation for power, strong downward/circular motion","Insufficient force, no hip involvement, poor timing with footwork"
9th Keup,9th_keup,basic_strikes_extended,Extended Basic Strikes,Striking,1,"Straight Punch Extended","Forward 8 counts, Backward 8 counts","Two top knuckles, straight line to target, hip rotation for power, fist rotation","Wrong knuckles, curved path, no rotation, telegraphing"
8th Keup,8th_keup,stance_transitions,Stance Transitions,Stances,2,"Walking Stance Basic, Sitting Stance Basic (Annun Sogi)","Forward 6/4 counts, Backward 6/4 counts","Smooth transitions, proper stance dimensions, sitting stance with thighs parallel","Incorrect distances/angles, insufficient sitting depth, poor balance"
8th Keup,8th_keup,combination_blocks,Combination Blocks,Blocking,2,"High-Middle Block Combination, Low-Middle Block Combination","Forward 4 counts, Backward 4 counts","Clear level distinction, smooth transitions, equal power in both blocks","Rushing between blocks, inconsistent levels, weak second technique"
8th Keup,8th_keup,combination_strikes,Combination Strikes,Striking,1,"Double Punch (Dubeon Jireugi)","Forward 4 counts, Backward 4 counts","First punch sets up second, quick retraction, maintain momentum, equal power","Slow between punches, weak first punch, balance loss"
7th Keup,7th_keup,advanced_stance_work,Advanced Stance Work,Stances,2,"Walking Stance Advanced, L-Stance Basic (Niunja Sogi)","Forward 8/6 counts, Backward 8/6 counts","Perfect stance dimensions, smooth weight transfers, 70/30 weight distribution in L-stance","Varying stance width, choppy transitions, equal weight in L-stance"
7th Keup,7th_keup,enhanced_blocking,Enhanced Blocking,Blocking,2,"High Block Refined, Knife Hand Block Basic (Sonkal Makgi)","Forward 6/4 counts, Backward 6/4 counts","Maximum power with hip rotation, knife hand in L-stance only, arc motion from opposite shoulder","Block too low, no hip involvement, wrong stance for knife hand"
7th Keup,7th_keup,intermediate_strikes,Intermediate Strikes,Striking,2,"Reverse Punch (Bandae Jireugi), Knife Hand Strike (Sonkal Taerigi)","Forward 6/4 counts, Backward 6/4 counts","Rear hand punch with maximum hip rotation, knife hand chopping motion to neck level","Using front hand instead of rear, poor hip engagement, wrong target levels"
6th Keup,6th_keup,intermediate_stances,Intermediate Stances,Stances,2,"Walking Stance Advanced, L-Stance","Forward 6/4 counts, Backward 6/4 counts","Consistent stance dimensions, proper weight distribution (70/30 in L-stance)","Varying stance width, equal weight distribution in L-stance"
6th Keup,6th_keup,intermediate_blocks,Intermediate Blocks,Blocking,2,"High Block, Inner Forearm Block (An Palmok Makgi)","Forward 6/4 counts, Backward 6/4 counts","High block above forehead, inner forearm blocks across body with elbow close to ribs","Block too low for head protection, elbow moving away from body"
6th Keup,6th_keup,intermediate_kicks,Basic Kicks,Kicking,1,"Front Snap Kick (Ap Cha Busigi)","Forward 4 counts, Backward 4 counts","Knee up first, snap with ball of foot, quick return to chamber, maintain balance","Pushing instead of snapping, poor balance, not chambering properly"
5th Keup,5th_keup,dynamic_stances,Dynamic Stances,Stances,2,"Walking Stance Power, L-Stance Advanced","Forward 8/6 counts, Backward 8/6 counts","Explosive stepping with control, precise 70/30 weight distribution, quick stance establishment","Loss of precision with speed, poor landing control, incorrect weight distribution"
5th Keup,5th_keup,advanced_blocks,Advanced Blocks,Blocking,2,"Twin Forearm Block Basic (Sang Palmok Makgi), Knife Hand Block Advanced","Forward 4/6 counts, Backward 4/6 counts","Both forearms simultaneously, parallel arms, maximum arc motion with snapping finish","One arm weaker, arms not parallel, reduced arc motion"
5th Keup,5th_keup,power_strikes,Power Strikes,Striking,2,"Back Fist Strike Basic (Dung Joomuk Taerigi), Elbow Strike Basic (Palkup Taerigi)","Forward 6/4 counts, Backward 6/4 counts","Whipping motion from elbow, hip rotation for elbow power, back of fist contact","Wrong fist part, insufficient whipping, poor hip involvement"
5th Keup,5th_keup,basic_kicks,Basic Kicks,Kicking,1,"Front Snap Kick Advanced","Forward 4 counts, Backward 4 counts","High knee chamber, snap with ball of foot, quick return to chamber, perfect balance","Low chamber, pushing instead of snapping, poor balance"
4th Keup,4th_keup,advanced_stances,Advanced Stances,Stances,2,"Fixed Stance (Gojung Sogi), Sitting Stance (Annun Sogi)","Forward 4/3 counts, Backward 4/3 counts","Feet shoulder width apart for fixed stance, thighs parallel to ground for sitting stance","Feet too close in fixed stance, not sitting low enough"
4th Keup,4th_keup,advanced_blocks,Advanced Blocks,Blocking,2,"Twin Forearm Block, Knife Hand Block","Forward 4 counts, Backward 4 counts","Both forearms simultaneously and parallel, knife hand in L-stance with arc motion","One arm higher than other, wrong stance for knife hand block"
