Belt Level,Belt ID,Order,Exercise Name,Direction,Movement Type,Techniques (pipe-separated),Repetitions,Notes
8th Keup,8th_keup,1,"L stance, Twin Forearm Block",,FWD & BWD,L stance| Twin Forearm Block,8,
8th Keup,8th_keup,2,"Walking Stance, Front Kick Double Punch",,FWD,Walking Stance|Front Kick |Double Punch,5,
8th Keup,8th_keup,3,"L Stance, Inward Outer Forearm Block",,BWD,L Stance|Inward Outer Forearm Block,5,
8th Keup,8th_keup,4,"Turning Kick, landing in L Stance, Knife Hand Guarding Block",,FWD,Turning Kick| L Stance|Knife Hand Guarding Block,5,
8th Keup,8th_keup,5,"L Stance, Forearm Guarding Block",,BWD,L Stance||Forearm Guarding Block,5,
7th Keup,7th_keup,1,"Walking stance, high back fist strike",,FWD & BWD,Walking stance|high back fist strike,5,
7th Keup,7th_keup,2,"Turning Kick, landing in L Stance, Knife Hand Guarding Block",,FWD,Turning Kick| L Stance| Knife Hand Guarding Block,5,
7th Keup,7th_keup,3,"Walking Stance, Wedging Block",,BWD,Walking Stance| Wedging Block,5,
7th Keup,7th_keup,4,"Side Kick landing in L Stance, Forearm Guarding Block",,FWD,Side Kick | L Stance|Forearm Guarding Block,5,
7th Keup,7th_keup,5,"L Stance, Knife Hand Guarding Block",,BWD,L Stance|Knife Hand Guarding Block,5,
7th Keup,7th_keup,6,"Walking Stance, Straight Fingertip Thrust",,FWD,Walking Stance|Straight Fingertip Thrust,5,
7th Keup,7th_keup,7,"Walking Stance, High Outer Forearm Block, Middle Reverse Punch",,BWD,Walking Stance| High Outer Forearm Block| Middle Reverse Punch,5,
6th Keup,6th_keup,1,First 2 Moves of Won Hyo,,FWD,L Stance | Twin Forearm Block | Inward Knife Hand Strike,5,First 2 moves of Won Hyo
6th Keup,6th_keup,2,"Walking Stance, Low Block, Rising Block, Reverse Punch",,BWD,Walking Stance| Low Block| Rising Block| Reverse Punch,5,
