english,romainised,category
Front Rising Kick,Ap Cha Olligi,Kick
Side Rising Kick,Yop Cha Olligi,Kick
Inward Crescent Kick,Anuro Bandal Chagi,Kick
 Outward Crescent Kick,Bakuro Bandal Chagi,Kick
Front Snap Kick,Ap Cha Busigi,Kick
Side Piercing Kick,Yop Cha Jirugi,Kick
Turning Kick,Dollyo Chagi,Kick
Back Piercing Kick,Dwit Cha Jirugi,Kick
Reverse Turning Kick,Bandae Dollyo Chagi,Kick
Hooking Kick,Golcha Chagi,Kick
Knee Kick,Moorup Chagi,Kick
,Twimyo Yop Cha Jirugi Flying Side Kick- using Balkal,Kick
Side Thrusting Kick,Yop Cha Tulgi,Kick
Stamping Kick,Cha Busigi,Kick
Downward Kick,Naeryo Chagi,Kick
Reverse Hooking Kick,Bandae Golcha Chagi,Kick
Twisting Kick,Bituro Chagi,Kick
Vertical Kick,Sewo Chagi,Kick
Checking Kick,Cha Mum Chagi,Kick
Sweeping Kick,Goro Chagi,Kick
Flying Front Kick,Twimyo Ap Chagi,Kick
Flying turning Kick,Twimyo Dollyo Chagi,Kick
,Twimyo Bandae Dollyo Chagi Flying Reverse Turning Kick,Kick
Flying Side Piercing Kick,Twimyo Yop Cha Jirugi,Kick
Flying Side Thrusting Kick,Twimyo Yop Cha Tulgi,Kick
Flying High Kick,Twimyo Nopi Chagi,Kick
Flying Twisting Kick,Twimyo Bituro Chagi,Kick
Consecutive Kick,Yonsok Chagi,Kick
Flying Two Direction Kick (Split Kick),Twimyo Sangbang Chagi,Kick
Dodging Reverse Turning Kick,Pihamyo Bandae Dollyo Chagi ,Kick
Knee Low Front Snap Kick,Moorup Ap Cha Busigi,Kick
Ball Of The Foot,Apkumchi,Tool
Instep,Baldung,Tool
Footsword,Balkal,Tool
Toes,Balk Kut,Tool
Back Heel,Dwitchook,Tool
Knee,Moorup,Tool
 Sole Of Foot,Balbadak,Tool
Back Sole,Dwit Kumchi,Tool
Side Instep,Yop Baldung,Tool
Forefist,Ap Joomuk,Tool
Back Fist,Dung Joomuk,Tool
Hammer Fist,Yup Joomuk,Tool
Reverse Knifehand,Sonkal Dung,Tool
Knifehand,Sonkal,Tool
Fingertips,Sonkut,Tool
Elbow,Palkup,Tool
Back Forearm,Dung Palmok,Tool
Bearhand,Komson,Tool
Palm Heel,Pyon Joomuk,Tool
Middle Knuckle Fist,Joongi Joomuk,Tool
Backhand,Sondung,Tool
Knuckle,Inji- Fore,Tool
Arc,Bandalson,Tool
Forefist Punch,Ap Joomuk Jirugi,Strike
Front Punch,Ap Jirugi,Strike
Side Punch,Yop Jirugi,Strike
Twin Vertical Punch,Sang Sewo Jirugi,Strike
Twin Upset Punch,Sang Dwijibo Jirugi,Strike
Vertical Punch,Kyocha Jirugi,Strike
Forefist Upward Punch,Ap Joomuk Ollyo Jirugi,Strike
Back Fist,Dung Joomuk,Strike
Knifehand Side Strike,Sonkal Yop Taerigi,Strike
Straight Fingertip Thrust,Sun Sonkut Tulgi,Strike
Flat Fingertip Thrust,Opun Sonkut Tulgi,Strike
Upset Fingertip Thrust,Dwijibum Sonkut Tulgi,Strike
Knifehand Downward Strike,Sonkal Naeryo Taerigi,Strike
Upper Elbow Strike,Wi Palkup Taerigi,Strike
Knifehand Inward High Strike,Nopunde Sonkal Anuro Taerigi,Strike
Reverse Knifehand Inward High Strike,Nopunde Sonkal Dung Anuro Taerigi,Strike
Knuckle Fist Punch,Songarak Joomuk Jirugi,Strike
Twin Side Elbow Thrust,Sang Yop Palkup Tulgi,Strike
Back Fist Side Back Strike,Dung Joomuk Yop Dwit Taerigi,Strike
Horizontal Punch,Soopyong Jirugi,Strike
Middle Knuckle Fist,Joongi Joomuk,Strike
Back Fist Downward Strike,Dung Joomuk Naeryo Taerigi,Strike
Flat Fingertip Outward Cross Cut,Opun Sonkut Bakuro Gutgi,Strike
Knifehand Mid Air Strike,Sonkal Twimyo Dolmyo Taerigi,Strike
Arc-hand Crescent Strike,Bandalson Bandal Taerigi,Strike
Twin Knifehand Inward Strike,Sang Sonkal Anuro Taerigi,Strike
Flying Consecutive Punch,Twimyo Yonsok Jirugi,Strike
